id,sexo,edad,ent,p1_riesgo,p2_riesgo,p3_riesgo,p4_riesgo,p5_ansiedad,p6_ansiedad,p7_sintomas,p8_sintomas,p9_sintomas,p10_sintomas,p11_sintomas,p12a_sintomas,p12b_sintomas,p12c_sintomas,p12d_sintomas,p12e_sintomas,p12f_sintomas,p13_sintomas,p14_sintomas,p15_cuarentena,p16_cuarentena,p17_economia,p18_economia,p19_economia,p20_economia,p21_economia,p22_economia,p23_economia,p24_economia,p25_economia,p26_economia,p27_economia,p28_economia,p29_economia,p29a_economia,p30_economia,p31_economia,p32_economia,p32a_economia,p33_economia,p34_economia,p35_cuarentena,p36_cuarentena,p37_expectativas,p38_expectativas,p39_expectativas,p40_depresion,p41_depresion,p42_depresion,p43_depresion,p44_depresion,p45_depresion,p46_depresion,p47_alimentacion,p48_alimentacion,p49_alimentacion,p50_alimentacion,p51_alimentacion,p52_alimentacion,p53_alimentacion,p54_alimentacion,p55_socio,p56_socio,p57_socio,p58_socio,p60_socio,p60g_socio,p61_socio,p62_socio,p63_socio,p64_socio,p65_socio,p66_socio,p67_socio,p68_socio,nse,gpo_edad3,gpo_edad4,gpo_edad5,factor_i,factor_i_n,factor_h,factor_h_n,factor_i_pop,factor_i_pop_n,factor_h_pop,factor_h_pop_n
342,1,40,21,4,4,2,7,0,3,0,,,,,,,,,,,,,0,10,0,0,0,0,998,4,1,40,1,9,,1,1,7511,0,0,,,,,,,5,5,5,0,0,2,0,0,1,3,1,0,0,1,1,0,1,0,2,0,0,0,1,,1,2,0,0,2,2,100,,2,2,3,3,70724.92629797391,.8551808,32474.494,.86943132,70724.92629802335,.8551808,28417.873,.86943144
343,0,36,21,3,3,1,6,1,1,0,,,,,,,,,,,,,0,12,0,0,0,0,998,2,1,50,1,1,99998,1,1,2251,1,0,,,,,,,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,6,5,2,4,2,1,4,4,25000,,7,2,3,3,74135.0638936911,.896415,34040.313,.91135263,74135.06389374292,.896415,29788.096,.91135275
344,0,51,21,9,,,,0,0,0,,,,,,,,,,,,,0,10,0,0,0,0,998,4,0,998,3,0,4000,1,1,9111,0,0,,,,,,,5,5,5,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,8,1,1,0,1,,1,2,0,0,0,1,4000,,1,3,4,4,77926.69588557859,.94226205,35781.305,.95796365,77926.69588563307,.94226205,31311.605,.95796376
345,0,18,21,3,3,2,7,0,0,0,,,,,,,,,,,,,1,,-1,-60,0,0,998,2,1,30,1,9,,0,,,,,1,1999,1,0,0,10,2,2,2,0,2,0,0,2,0,0,1,1,1,0,0,1,1,1,2,0,0,0,5,3,1,3,0,1,2,1,3000,,4,1,1,1,115612.7419697108,1.3979484,53085.461,1.4212434,115612.7419697916,1.3979484,46454.176,1.4212437
55,0,46,22,1,1,1,7,0,3,0,,,,,,,,,,,,,0,10,-1,-60,0,0,998,2,1,50,1,0,1000,1,1,8349,1,0,,,,,,,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,4,1,2,0,0,0,,999999,9,3,3,3,4,89602.57977498129,1.0834427,39928.598,1.0689981,89602.57977504392,1.0834427,34940.828,1.0689982
346,1,25,21,3,3,1,10,1,0,0,,,,,,,,,,,,,1,,-1,-30,1,1,100,1,1,50,1,0,3000,1,10,.a,,,,,,,,,2,3,3,0,0,0,3,0,0,0,1,0,1,1,0,0,0,1,5,0,4,0,3,6,0,1,0,0,1,0,999999,1,1,1,2,2,71860.5386901264,.86891222,32995.93,.88339156,71860.53869017665,.86891222,28874.172,.88339168
347,1,21,21,2,3,1,9,3,3,0,,,,,,,,,,,,,1,,-1,-50,1,1,60,1,0,998,2,0,10000,0,,,,,1,1412,1,0,1,9,2,2,2,0,1,0,3,3,3,0,1,1,1,1,0,1,0,0,8,1,1,0,6,2,2,3,1,0,1,2,3000,,5,1,1,1,84917.95602212573,1.0267979,38991.453,1.0439082,84917.95602218507,1.0267979,34120.754,1.0439084
56,0,22,15,4,4,4,0,0,0,0,,,,,,,,,,,,,0,30,-1,-30,1,3,40,1,1,60,1,1,99998,0,,,,,1,6115,0,0,0,13,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,5,1,0,0,3,3,1,2,1,0,3,,2000,,3,1,1,1,104228.9914381713,1.2603002,44237.934,1.1843709,104228.9914382442,1.2603002,38711.859,1.184371
348,0,43,21,2,3,3,3,0,0,1,1,0,,1,,,,,,0,0,,1,,-1,-50,0,0,998,4,1,50,1,0,4000,1,1,9899,1,0,,,,,,,2,2,2,9,9,9,9,9,9,9,0,0,0,1,0,0,0,0,5,2,0,0,4,3,1,2,0,0,0,1,999999,3,2,2,3,3,94103.03231049137,1.1378605,43208.93,1.1568216,94103.03231055716,1.1378605,37811.395,1.1568217
57,0,52,21,1,1,1,7,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,4,0,998,4,1,99998,1,1,2391,1,0,,,,,,,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,,2,2,2,1,1,,999999,5,7,3,4,4,65869.60469437583,.79647195,30245.096,.80974418,65869.60469442187,.79647195,26466.963,.8097443
